Interactor A Gene Symbol,Interactor B Gene Symbol,Interactor A Uniprot AC,Interactor B Uniprot AC,Database,,,,
CXCR2,LASP1,P25025,Q14847,IID,,,,
CXCR2,P2RY11,P25025,Q96G91,IID,,,,
CXCR2,ITGAM,P25025,P11215,IID,,,,
DNMT3B,ARID4B,Q9UBC3,Q4LE39,IID,,,,
DNMT3B,PLK1,Q9UBC3,P53350,IID,,,,
DNMT3B,PBRM1,Q9UBC3,Q86U86,IID,,,,
DNMT3B,HOXD3,Q9UBC3,P31249,IID,,,,
DNMT3B,CBX3,Q9UBC3,Q13185,IID,,,,
DNMT3B,NRCAM,Q9UBC3,Q92823,IID,,,,
DNMT3B,YY1,Q9UBC3,P25490,IID,,,,
DNMT3B,SMC4,Q9UBC3,Q9NTJ3,IID,,,,
DNMT3B,PAICS,Q9UBC3,P22234,IID,,,,
DNMT3B,DMAP1,Q9UBC3,Q9NPF5,IID,,,,
DNMT3B,EZH1,Q9UBC3,Q92800,IID,,,,
DNMT3B,SAP18,Q9UBC3,O00422,IID,,,,
DNMT3B,SMAD2,Q9UBC3,Q15796,IID,,,,
DNMT3B,TAL1,Q9UBC3,P17542,IID,,,,
DNMT3B,EED,Q9UBC3,O75530,IID,,,,
DNMT3B,BRD1,Q9UBC3,O95696,IID,,,,
DNMT3B,CHD4,Q9UBC3,Q14839,IID,,,,
DNMT3B,DNMT3A,Q9UBC3,Q9Y6K1,IID,,,,
DNMT3B,HIST2H2AB,Q9UBC3,Q8IUE6,IID,,,,
DNMT3B,NEDD8,Q9UBC3,Q15843,IID,,,,
DNMT3B,AKAP8,Q9UBC3,O43823,IID,,,,
DNMT3B,VWC2,Q9UBC3,Q2TAL6,IID,,,,
DNMT3B,RERE,Q9UBC3,Q9P2R6,IID,,,,
DNMT3B,H3F3A,Q9UBC3,P84243,IID,,,,
DNMT3B,ZBTB17,Q9UBC3,Q13105,IID,,,,
DNMT3B,SMARCA5,Q9UBC3,O60264,IID,,,,
DNMT3B,SUMO1,Q9UBC3,P63165,IID,,,,
DNMT3B,DNMT3B,Q9UBC3,Q9UBC3,IID,,,,
DNMT3B,DVL2,Q9UBC3,O14641,IID,,,,
DNMT3B,ROCK2,Q9UBC3,O75116,IID,,,,
DNMT3B,BAZ2A,Q9UBC3,Q9UIF9,IID,,,,
DNMT3B,TOP1,Q9UBC3,P11387,IID,,,,
DNMT3B,DSN1,Q9UBC3,Q9H410,IID,,,,
DNMT3B,MDM2,Q9UBC3,Q00987,IID,,,,
DNMT3B,MIS12,Q9UBC3,Q9H081,IID,,,,
DNMT3B,AR,Q9UBC3,P10275,IID,,,,
DNMT3B,EHMT2,Q9UBC3,Q96KQ7,IID,,,,
DNMT3B,NPHP1,Q9UBC3,O15259,IID,,,,
DNMT3B,GNMT,Q9UBC3,Q14749,IID,,,,
DNMT3B,PRDM5,Q9UBC3,Q9NQX1,IID,,,,
DNMT3B,RBBP7,Q9UBC3,Q16576,IID,,,,
DNMT3B,CMTM6,Q9UBC3,Q9NX76,IID,,,,
DNMT3B,MTA3,Q9UBC3,Q9BTC8,IID,,,,
DNMT3B,ASH2L,Q9UBC3,Q9UBL3,IID,,,,
DNMT3B,KDM4C,Q9UBC3,Q9H3R0,IID,,,,
DNMT3B,SMAD4,Q9UBC3,Q13485,IID,,,,
DNMT3B,PIAS1,Q9UBC3,O75925,IID,,,,
DNMT3B,MEF2A,Q9UBC3,Q02078,IID,,,,
DNMT3B,PIAS2,Q9UBC3,O75928,IID,,,,
DNMT3B,NCK1,Q9UBC3,P16333,IID,,,,
DNMT3B,AGO4,Q9UBC3,Q9HCK5,IID,,,,
DNMT3B,SUMO2,Q9UBC3,P61956,IID,,,,
DNMT3B,RBBP4,Q9UBC3,Q09028,IID,,,,
DNMT3B,HDAC4,Q9UBC3,P56524,IID,,,,
DNMT3B,PRKN,Q9UBC3,O60260,IID,,,,
DNMT3B,NPM1,Q9UBC3,P06748,IID,,,,
DNMT3B,SETD7,Q9UBC3,Q8WTS6,IID,,,,
DNMT3B,SUV39H2,Q9UBC3,Q9H5I1,IID,,,,
DNMT3B,PCYT2,Q9UBC3,Q99447,IID,,,,
DNMT3B,PARP1,Q9UBC3,P09874,IID,,,,
DNMT3B,SIN3A,Q9UBC3,Q96ST3,IID,,,,
DNMT3B,MTF2,Q9UBC3,Q9Y483,IID,,,,
DNMT3B,KMT5B,Q9UBC3,Q4FZB7,IID,,,,
DNMT3B,CHAF1B,Q9UBC3,Q13112,IID,,,,
DNMT3B,UBE2C,Q9UBC3,O00762,IID,,,,
DNMT3B,DBNL,Q9UBC3,Q9UJU6,IID,,,,
DNMT3B,TP53,Q9UBC3,P04637,IID,,,,
DNMT3B,EPHB1,Q9UBC3,P54762,IID,,,,
DNMT3B,UHRF2,Q9UBC3,Q96PU4,IID,,,,
DNMT3B,AKAP1,Q9UBC3,Q92667,IID,,,,
DNMT3B,UBE2B,Q9UBC3,P63146,IID,,,,
DNMT3B,SREBF2,Q9UBC3,Q12772,IID,,,,
DNMT3B,SMAD7,Q9UBC3,O15105,IID,,,,
DNMT3B,POT1,Q9UBC3,Q9NUX5,IID,,,,
DNMT3B,CCL24,Q9UBC3,O00175,IID,,,,
DNMT3B,UHRF1,Q9UBC3,Q96T88,IID,,,,
DNMT3B,CHRAC1,Q9UBC3,Q9NRG0,IID,,,,
DNMT3B,RWDD3,Q9UBC3,Q9Y3V2,IID,,,,
DNMT3B,RASA1,Q9UBC3,P20936,IID,,,,
DNMT3B,SOX10,Q9UBC3,P56693,IID,,,,
DNMT3B,DNMT3L,Q9UBC3,Q9UJW3,IID,,,,
